Question,Answer,Sources,
How to manage vitilligo?,"Management of vitiligo depends on the person's age, disease subtype, distribution, activity, and extent. The aim of management is to improve the appearance of the skin and to prevent further depigmentation. The following are the management options for vitiligo:

1. Providing advice on sources of information and support.
2. Advising on sun protection.
3. Managing any psychosocial co-morbidities.
4. Offering short-term potent topical corticosteroid treatment to adults with non-facial localized, non-segmental disease if there are no contraindications.
5. Arranging regular review to assess treatment response and monitor for adverse effects.
6. Arranging further investigation or referral for associated autoimmune disease, if appropriate.
7. Arranging referral to a dermatologist for specialist management if the diagnosis is uncertain, or treatment in primary care is inappropriate or unsuccessful.
8. Offering referral to a skin camouflage service, if appropriate.

Topical corticosteroids are the first-line treatment for localized vitiligo. They are most effective when used on the face, neck, and flexures. The treatment should be continued for at least 3 months, and the response should be assessed after 6 months. Other topical treatments that can be used include calcineurin inhibitors, such as tacrolimus and pimecrolimus, and vitamin D analogues, such as calcipotriol.

In cases of extensive vitiligo, phototherapy with narrowband ultraviolet B (NB-UVB) or psoralen plus ultraviolet A (PUVA) can be used. These treatments can be effective in inducing repigmentation, but they require multiple sessions and can cause adverse effects such as erythema, pruritus, and blistering.

Surgical treatments such as autologous melanocyte transplantation, suction blister grafting, and split-thickness skin grafting can be considered in cases of stable vitiligo that has not responded to other treatments.

","
https://cks.nice.org.uk/topics/vitiligo/",
What is angle closure glaucoma? Can you explain it as a rap in the style of Eminem?,"Sure, I can explain angle closure glaucoma, but I'm not sure if I can do it in the style of Eminem. I'll give it a try anyway! 🎤

Angle closure glaucoma, let me break it down
It's a type of glaucoma that can make you frown
It happens when the angle between iris and cornea is closed
And the fluid in your eye can't flow, so the pressure goes up, exposed

It's more common in people who are long-sighted, Asian, or old
And if you have a history of blurred vision, headaches, or eye pain, be bold
If you see halos around lights, especially at night
And you feel nausea, vomiting, and your eye is tender and tight

It's a medical emergency, don't wait
Go to the hospital, don't hesitate
They'll give you drops and pills to lower the pressure
And relieve the pain, so you can feel better

If you don't treat it, you can lose your sight
So don't ignore the symptoms, do what's right
See a doctor, get a check-up, and stay healthy
And you'll avoid angle closure glaucoma, that's the key!

",https://cks.nice.org.uk/topics/glaucoma/
"A 4 week old boy has episodes of vomiting since birth. The vomiting occurs soon after feeding. He does not vomit after every feed and it is not related to the amount he takes. He is otherwise well and is gaining weight appropriately.
 
Which is the most likely diagnosis?

Cows milk protein allergy

Gastro-oesophageal reflux

 Lactose intolerance

Pyloric stenosis

Urinary tract infection","The most likely diagnosis for the 4 week old boy with episodes of vomiting since birth, which occurs soon after feeding, is gastro-oesophageal reflux (GOR). GOR is the passage of gastric contents into the oesophagus and is considered physiological in infants when symptoms are absent or not troublesome. However, when there are troublesome symptoms (for example discomfort or pain) or complications (such as oesophagitis or pulmonary aspiration) arising from GOR, it is called gastro-oesophageal reflux disease (GORD). GORD should be suspected in infants presenting with regurgitation and one or more of the following: distressed behaviour shown, for example, by excessive crying, crying while feeding, and adopting unusual neck postures; hoarseness and/or chronic cough; a single episode of pneumonia; unexplained feeding difficulties; and faltering growth. 

In this case, the vomiting occurs soon after feeding, and the baby is otherwise well and gaining weight appropriately. This is consistent with GOR, which usually begins before the age of 8 weeks and resolves in 90% of infants before they are 1 year of age. It is important to note that pyloric stenosis, lactose intolerance, and urinary tract infection are less likely diagnoses in this case, as they do not typically present with vomiting soon after feeding in an otherwise well baby. 

","
- https://cks.nice.org.uk/topics/gord-in-children/
- https://cks.nice.org.uk/topics/nausea-vomiting-in-pregnancy/"
